is_preview,survey_id,respondent_id,start_time,end_time,Q1 Which country do you live in?,Q2 What is your gender?,Q3 What is the highest level of education you've attained?,Q4 What region of the UK do you live in?,"Q5 What is your postcode? For example, if your postcode is 'SW1A 1AA', please enter 'SW1A 1' - the first part of the postcode and the first digit of the second part.",Q7 How did you vote in the 2016 EU Referendum?,Q8.0 Did you vote in the 2019 General Election?,"Q8.1 If so, how did you vote in the 2019 General Election?",Q9 How did you vote in the 2017 General Election?,"Q10 If an election were held tomorrow, which party, if any, would you vote for?","Q11 Overall, do you approve or disapprove of the Government’s performance?","Q12.1 Below is a list of political parties. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Conservatives","Q12.2 Below is a list of political parties. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Labour","Q12.3 Below is a list of political parties. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Liberal Democrats","Q12.4 Below is a list of political parties. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Brexit Party","Q12.5 Below is a list of political parties. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Greens","Q12.6 Below is a list of political parties. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Scottish National Party","Q12.7 Below is a list of political parties. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Plaid Cymru","Q13.1 Below is a list of political figures. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Boris Johnson, the Prime Minister","Q13.2 Below is a list of political figures. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Rishi Sunak, the Chancellor","Q13.3 Below is a list of political figures. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Matt Hancock, the Health Secretary","Q13.4 Below is a list of political figures. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Priti Patel, the Home Secretary","Q13.5 Below is a list of political figures. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Dominic Raab, the Foreign Secretary","Q13.6 Below is a list of political figures. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Sir Keir Starmer, the Leader of the Opposition","Q13.7 Below is a list of political figures. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Nicola Sturgeon, the First Minister of Scotland","Q13.8 Below is a list of political figures. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Nigel Farage, Leader of the Brexit Party","Q13.9 Below is a list of political figures. For each could you say on a scale of 0 to 100 how warmly you feel towards them with 0 meaning completely cold, 100 meaning completely warm and 50 meaning somewhere in the middle.... Sir Ed Davey, Acting Leader of the Liberal Democrats",Q14 Do you know the name of your current Member of Parliament?,Q15 Do you approve of the performance of your local MP?,"Q16 Have you received any communication from your local MP in the past month? (eg. leaflets, adverts, door-knocking)",Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Britain leaving the EU,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Education and schools,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Helping the country recover from Covid-19,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Jobs and the economy,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Protecting the environment / climate change,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Ranked 1st,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Ranked 2nd,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Ranked 3rd,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Ranked 4th,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Ranked 5th,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Ranked 6th,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Ranked 7th,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Ranked 8th,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... The NHS and social care,Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... The level of immigration,"Q17 Please rank the following issues in order of importance for the *country* - with 1 as the most important and 8 as the least important.... Transport and infrastructure (eg. roads, trains, bus routes)",Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Britain leaving the EU,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Education and schools,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Helping your area recover from Covid-19,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Jobs and the economy,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Protecting the environment / climate change,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Ranked 1st,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Ranked 2nd,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Ranked 3rd,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Ranked 4th,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Ranked 5th,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Ranked 6th,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Ranked 7th,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Ranked 8th,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... The NHS and social care,Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... The level of immigration,"Q18 Please rank the following issues in order of importance for *your local area* - with 1 as the most important and 8 as the least important.... Transport and infrastructure (eg. roads, trains, bus routes)",Q19,Q20 In which region of the UK do you reside?,Q21 What is your year of birth?,Q22,Q23
False,7858f084-89fc-4d61-9659-5bec93ef7706,1596309010,2020-08-01 20:37:40,2020-08-01 20:47:24,England,Female,"CSE grade 1, GCE O level, GCSE, School Certificate ",South West,EX2 8,I voted to Leave,"Yes, I voted",Conservative,Conservative,Conservatives,Somewhat approve,71-80,0-9,0-9,81-90,0-9,0-9,20-29,81-90,91-100,71-80,81-90,81-90,10-19,0-9,81-90,0-9,Yes,Yes,No,Ranked 1st,Ranked 7th,Ranked 5th,Ranked 3rd,Ranked 8th,Britain leaving the EU,The level of immigration,Jobs and the economy,The NHS and social care,Helping the country recover from Covid-19,"Transport and infrastructure (eg. roads, trains, bus routes)",Education and schools,Protecting the environment / climate change,Ranked 4th,Ranked 2nd,Ranked 6th,Ranked 1st,Ranked 7th,Ranked 3rd,Ranked 2nd,Ranked 8th,Britain leaving the EU,Jobs and the economy,Helping your area recover from Covid-19,The level of immigration,The NHS and social care,"Transport and infrastructure (eg. roads, trains, bus routes)",Education and schools,Protecting the environment / climate change,Ranked 5th,Ranked 4th,Ranked 6th,NA,South West,1940,,
False,,1246553700,2020-08-03 19:43:51,2020-08-03 19:53:20,England,,GCE A level or Higher Certificate ,East of England,CM18 7,I voted to Remain,"Yes, I voted",Don't know,Don't know,Liberal Democrats,Somewhat approve,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,No,Yes,Yes,Ranked 7th,Ranked 4th,Ranked 1st,Ranked 3rd,Ranked 8th,Helping the country recover from Covid-19,The NHS and social care,Jobs and the economy,Education and schools,"Transport and infrastructure (eg. roads, trains, bus routes)",The level of immigration,Britain leaving the EU,Protecting the environment / climate change,Ranked 2nd,Ranked 6th,Ranked 5th,,,,,,,,,,,,,,,,,NA,East of England,1986,,
False,7858f084-89fc-4d61-9659-5bec93ef7706,9860644420,2020-07-30 18:52:26,2020-07-30 19:00:14,England,Male,"University or CNAA higher degree (e.g. M.Sc, Ph.D) ",East Midlands,NG7 2,I didn't vote,"Yes, I voted",I didn't vote,Didn't vote,Liberal Democrats,Somewhat approve,0-9,10-19,71-80,None,10-19,0-9,0-9,50,40-49,61-70,61-70,51-60,50,40-49,51-60,50,No,No,No,Ranked 6th,Ranked 8th,Ranked 3rd,Ranked 1st,Ranked 2nd,Jobs and the economy,Protecting the environment / climate change,Helping the country recover from Covid-19,"Transport and infrastructure (eg. roads, trains, bus routes)",The level of immigration,Britain leaving the EU,The NHS and social care,Education and schools,Ranked 7th,Ranked 5th,NaN,Ranked 7th,Ranked 5th,Ranked 2nd,Ranked 3rd,Ranked 1st,Protecting the environment / climate change,Helping your area recover from Covid-19,Jobs and the economy,The NHS and social care,Education and schools,"Transport and infrastructure (eg. roads, trains, bus routes)",,The level of immigration,Ranked 4th,Ranked 8th,np.nan,NA,East Midlands,1995,,
False,7858f084-89fc-4d61-9659-5bec93ef7706,3825252102,2020-08-03 05:47:35,2020-08-03 05:56:37,England,Male,"University or CNAA higher degree (e.g. M.Sc, Ph.D) ",South East,BN3 1,I voted to Remain,"Yes, I voted",Liberal Democrat,Liberal Democrat,Liberal Democrats,Somewhat disapprove,10-19,61-70,,0-9,20-29,50,50,0-9,0-9,0-9,0-9,0-9,50,61-70,0-9,61-70,No,Yes,No,Ranked 7th,Ranked 3rd,Ranked 5th,Ranked 1st,Ranked 6th,Jobs and the economy,The NHS and social care,Education and schools,"Transport and infrastructure (eg. roads, trains, bus routes)",Helping the country recover from Covid-19,Protecting the environment / climate change,Britain leaving the EU,The level of immigration,Ranked 2nd,Ranked 8th,Ranked 4th,Ranked 7th,Ranked 1st,Ranked 6th,Ranked 2nd,Ranked 5th,Education and schools,Jobs and the economy,The NHS and social care,"Transport and infrastructure (eg. roads, trains, bus routes)",Protecting the environment / climate change,Helping your area recover from Covid-19,Britain leaving the EU,The level of immigration,Ranked 3rd,Ranked 8th,,NA,South East,,,
False,7858f084-89fc-4d61-9659-5bec93ef7706,4625262873,2020-07-31 14:24:37,2020-07-31 14:33:15,England,Female,City & Guilds certificate - advanced ,North West,OL13 0,I voted to Leave,"Yes, I voted",Conservative,Conservative,Conservatives,,91-100,50,,0-9,50,0-9,0-9,91-100,91-100,91-100,91-100,91-100,50,50,50,50,No,No,No,Ranked 2nd,Ranked 7th,Ranked 1st,Ranked 3rd,Ranked 5th,Helping the country recover from Covid-19,Britain leaving the EU,Jobs and the economy,The level of immigration,,The NHS and social care,,"Transport and infrastructure (eg. roads, trains, bus routes)",Ranked 6th,Ranked 4th,Ranked 8th,Ranked 2nd,Ranked 6th,Ranked 1st,Ranked 3rd,Ranked 7th,Helping your area recover from Covid-19,Britain leaving the EU,Jobs and the economy,The level of immigration,The NHS and social care,Education and schools,Protecting the environment / climate change,"Transport and infrastructure (eg. roads, trains, bus routes)",Ranked 5th,Ranked 4th,Ranked 8th,NA,North West,1975,,
False,7858f084-89fc-4d61-9659-5bec93ef7706,839631875,2020-08-02 05:55:11,2020-08-02 06:04:12,England,Male,"Other technical, professional or higher qualification",West Midlands,B45 9,I voted to Leave,"Yes, I voted",Labour,Liberal Democrat,Liberal Democrats,Somewhat disapprove,20-29,30-39,51-60,0-9,30-39,10-19,0-9,,20-29,0-9,0-9,0-9,40-49,10-19,0-9,51-60,Yes,,Yes,Ranked 4th,,Ranked 2nd,Ranked 3rd,Ranked 7th,The NHS and social care,Helping the country recover from Covid-19,,Britain leaving the EU,"Transport and infrastructure (eg. roads, trains, bus routes)",Education and schools,Protecting the environment / climate change,The level of immigration,Ranked 1st,Ranked 8th,Ranked 5th,Ranked 7th,Ranked 5th,Ranked 2nd,Ranked 3rd,Ranked 6th,The NHS and social care,,Jobs and the economy,"Transport and infrastructure (eg. roads, trains, bus routes)",Education and schools,Protecting the environment / climate change,,The level of immigration,Ranked 1st,Ranked 8th,Ranked 4th,NA,West Midlands,1961,,
False,7858f084-89fc-4d61-9659-5bec93ef7706,2560118889,2020-08-02 02:24:55,2020-08-02 02:32:14,Scotland,Male,GCE A level or Higher Certificate ,Scotland,KA4 8,I voted to Remain,"Yes, I voted",Conservative,Conservative,Conservatives,Somewhat approve,71-80,,20-29,0-9,20-29,40-49,20-29,,61-70,51-60,61-70,61-70,20-29,50,0-9,10-19,Yes,Yes,Yes,Ranked 3rd,Ranked 6th,Ranked 1st,Ranked 4th,Ranked 8th,Helping the country recover from Covid-19,The NHS and social care,Britain leaving the EU,Jobs and the economy,The level of immigration,Education and schools,"Transport and infrastructure (eg. roads, trains, bus routes)",Protecting the environment / climate change,Ranked 2nd,Ranked 5th,Ranked 7th,Ranked 3rd,Ranked 7th,Ranked 1st,Ranked 6th,Ranked 8th,,The NHS and social care,Britain leaving the EU,The level of immigration,"Transport and infrastructure (eg. roads, trains, bus routes)",Jobs and the economy,Education and schools,Protecting the environment / climate change,Ranked 2nd,Ranked 4th,Ranked 5th,NA,Scotland,1961,,
False,7858f084-89fc-4d61-9659-5bec93ef7706,6008444347,2020-07-31 22:35:52,2020-07-31 22:45:03,England,Female,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed) ",South West,,I voted to Leave,"Yes, I voted",Conservative,Conservative,Conservatives,Somewhat approve,61-70,30-39,0-9,71-80,20-29,0-9,20-29,50,50,50,20-29,50,51-60,0-9,50,0-9,Yes,Yes,No,Ranked 1st,Ranked 5th,Ranked 2nd,Ranked 3rd,Ranked 7th,Britain leaving the EU,Helping the country recover from Covid-19,Jobs and the economy,The NHS and social care,,"Transport and infrastructure (eg. roads, trains, bus routes)",Protecting the environment / climate change,The level of immigration,Ranked 4th,Ranked 8th,Ranked 6th,Ranked 4th,Ranked 5th,Ranked 2nd,,Ranked 7th,Jobs and the economy,Helping your area recover from Covid-19,The NHS and social care,Britain leaving the EU,Education and schools,"Transport and infrastructure (eg. roads, trains, bus routes)",Protecting the environment / climate change,The level of immigration,Ranked 3rd,Ranked 8th,Ranked 6th,NA,South West,1948,,
False,7858f084-89fc-4d61-9659-5bec93ef7706,5634475470,2020-08-02 19:15:01,2020-08-02 19:24:20,England,Male,"Other technical, professional or higher qualification",South East,BN1 5,I voted to Leave,"Yes, I voted",Conservative,Conservative,Conservatives,Somewhat approve,61-70,20-29,10-19,51-60,30-39,30-39,30-39,71-80,71-80,61-70,71-80,71-80,50,30-39,71-80,50,Yes,No,Yes,Ranked 3rd,Ranked 6th,Ranked 1st,Ranked 2nd,Ranked 8th,Helping the country recover from Covid-19,Jobs and the economy,Britain leaving the EU,,The NHS and social care,Education and schools,The level of immigration,Protecting the environment / climate change,Ranked 5th,Ranked 7th,Ranked 4th,Ranked 6th,Ranked 5th,Ranked 4th,Ranked 1st,Ranked 7th,Jobs and the economy,"Transport and infrastructure (eg. roads, trains, bus routes)",The NHS and social care,Helping your area recover from Covid-19,Education and schools,Britain leaving the EU,Protecting the environment / climate change,The level of immigration,Ranked 3rd,Ranked 8th,Ranked 2nd,,South East,1955,,
False,7858f084-89fc-4d61-9659-5bec93ef7706,92112509,2020-08-02 08:29:10,2020-08-02 08:37:30,England,Male,University diploma ,South East,LU5 5,I voted to Remain,"Yes, I voted",Conservative,Conservative,Conservatives,Strongly approve,71-80,10-19,20-29,20-29,40-49,10-19,51-60,51-60,81-90,71-80,40-49,50,10-19,20-29,20-29,30-39,Yes,Yes,Yes,Ranked 1st,Ranked 3rd,Ranked 7th,Ranked 4th,Ranked 8th,Britain leaving the EU,The NHS and social care,Education and schools,Jobs and the economy,The level of immigration,"Transport and infrastructure (eg. roads, trains, bus routes)",Helping the country recover from Covid-19,Protecting the environment / climate change,Ranked 2nd,Ranked 5th,Ranked 6th,Ranked 1st,Ranked 2nd,Ranked 7th,Ranked 5th,Ranked 8th,Britain leaving the EU,Education and schools,The NHS and social care,The level of immigration,Jobs and the economy,"Transport and infrastructure (eg. roads, trains, bus routes)",Helping your area recover from Covid-19,Protecting the environment / climate change,Ranked 3rd,Ranked 4th,Ranked 6th,,East of England,1962,,
